Suffix মএ not at end of wordform অতইথইশআলআয়, af: ['অতিথিশালা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform পআতআর, af: ['পাতা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ক not at end of wordform পআন, af: ['পা', 'v', '', '', '3', '', 'ক', 'ক']
Suffix ক not at end of wordform পআর, af: ['পার', 'v', '', '', '2', '', 'ক', 'ক']
Suffix নএ not at end of wordform পআর, af: ['পার', 'v', '', '', '2', '', 'নে', 'নে']
Suffix ক not at end of wordform পআড়ই, af: ['পাড়', 'v', '', '', '1', '', 'ক', 'ক']
Suffix এর not at end of wordform পউজওর, af: ['পুজো', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform পএলএ, af: ['পা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএই not at end of wordform পএলএই, af: ['পা', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix ভএও not at end of wordform পএলএও, af: ['পা', 'v', '', '', 'any', '', 'ভেও', 'ভেও']
Suffix ভএ not at end of wordform পএয়এ, af: ['পা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform পএয়এ, af: ['পা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform পওকআর, af: ['পোকা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform পঔঁছএ, af: ['পৌঁছ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform পঔঁছএ, af: ['পৌঁছ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform প্রণআলঈর, af: ['প্রণালী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform প্রতইযওগইতআয়, af: ['প্রতিযোগিতা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform প্রত্যআশআর, af: ['প্রত্যাশা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform প্রদর্শনঈর, af: ['প্রদর্শনী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform পড়এ, af: ['পড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform পড়এ, af: ['পড়', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ক not at end of wordform ফইরইসইপ্ট, af: ['ফিরিসিপ্ট\u200b', 'v', '', '', '1', '', 'ক', 'ক']
Suffix ভএ not at end of wordform ফইরএ, af: ['ফির', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ফইরএ, af: ['ফিরা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ফএলএ, af: ['ফেল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ফএলএ, af: ['ফেল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform ফওটআর, af: ['ফোটা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform বনবআংলওর, af: ['বনবাংলো', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform বনবআংলওর, af: ['বনবাংলো', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform বন্ধউর, af: ['বন্ধু', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ক not at end of wordform বলআ, af: ['বলা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ক not at end of wordform বলউন, af: ['বল', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ভএ not at end of wordform বলএ, af: ['বল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform বলএ, af: ['বল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform বলএ, af: ['বল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform বলএ, af: ['বল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform বলএ, af: ['বল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform বসএ, af: ['বস', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform বসএ, af: ['বস', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform বসএ, af: ['বস', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform বসএ, af: ['বস', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform বসএ, af: ['বস', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform বসএ, af: ['বস', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ক not at end of wordform বআঁধআ, af: ['বাঁধা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix এর not at end of wordform বআংলওর, af: ['বাংলো', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform বআংলওয়, af: ['বাংলো', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix কএ not at end of wordform বআঙআলইদএর, af: ['বাঙালি', 'n', '', 'pl', '', 'o', 'কে', 'কে']
Suffix ক not at end of wordform বআজআন, af: ['বাজা', 'v', '', '', '3', '', 'ক', 'ক']
Suffix নএ not at end of wordform বআজএ, af: ['বাজ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix এর not at end of wordform বআবআর, af: ['বাবা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix কএ not at end of wordform বআসস্থআনএরও, af: ['বাসস্থান', 'n', '', 'sg', '', 'o', 'কে', 'কে']
Suffix ক not at end of wordform বইদএশঈদ্রব্য, af: ['হ', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ভএ not at end of wordform বএঁধএ, af: ['বাঁধ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform বএছএ, af: ['বাছ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform বএছএ, af: ['বাছ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform বএজএ, af: ['বাজ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform বএনএ, af: ['বান', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform বএড়এ, af: ['বাড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform বএয়এ, af: ['বা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ক not at end of wordform বওঝআ, af: ['বোঝা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ভএ not at end of wordform বওঝএ, af: ['বোঝ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএও not at end of wordform বওঝএও, af: ['বোঝ', 'v', '', '', 'any', '', 'ভেও', 'ভেও']
Suffix এর not at end of wordform ব্যবস্থআর, af: ['ব্যবস্থা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix নএ not at end of wordform বয়, af: ['ব', 'v', '', '', '3', '', 'নে', 'নে']
Suffix এর not at end of wordform ভঙ্গঈর, af: ['ভঙ্গী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ক not at end of wordform ভরআ, af: ['ভরা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ক not at end of wordform ভরআ, af: ['ভরা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix এর not at end of wordform ভআটআর, af: ['ভাটা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform ভআবনআয়, af: ['ভাবনা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform ভআলওবআসআর, af: ['ভালোবাসা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform ভআষআয়, af: ['ভাষা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform মম, af: ['আমি', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform মশলআর, af: ['মশলা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform মআথআর, af: ['মাথা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform মইশএ, af: ['মিশা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform মএতএ, af: ['মাত', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform মএলএ, af: ['মেল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform যআঁর, af: ['যে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform যআত্রআর, af: ['যাত্রা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform যআত্রআর, af: ['যাত্রা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform যআত্রআয়, af: ['যাত্রা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform যআত্রঈর, af: ['যাত্রী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform যআর, af: ['যে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ক not at end of wordform রসউন, af: ['রস', 'v', '', '', '3', '', 'ক', 'ক']
Suffix এর not at end of wordform রআজধআনঈর, af: ['রাজধানী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform রআশইয়আয়, af: ['রাশিয়া', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform রআস্তআর, af: ['রাস্তা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform রআস্তআয়, af: ['রাস্তা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform রএখএ, af: ['রাখ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform রএখএ, af: ['রাখ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform রএগএ, af: ['রাগ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform রয়এছএ, af: ['আছ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform রয়এছএ, af: ['আছ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform রয়এছএ, af: ['আছ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ক not at end of wordform লআগআ, af: ['লাগা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix নএ not at end of wordform লআগএ, af: ['লাগ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix এর not at end of wordform লআভআর, af: ['লাভা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform লএগএ, af: ['লাগ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform লওহআর, af: ['লোহা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform শয্যআর, af: ['শয্যা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform শইরআয়, af: ['শিরা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform শউনএ, af: ['শুন', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform শউনএ, af: ['শুন', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform শউয়এ, af: ['শো', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform শউয়এ, af: ['শো', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ক not at end of wordform শওনআ, af: ['শোনা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix এর not at end of wordform সন্ধ্যআর, af: ['সন্ধ্যা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform সবআর, af: ['সব', 'pn', '', 'pl', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform সবআর, af: ['সব', 'pn', '', 'pl', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform সবআর, af: ['সব', 'pn', '', 'pl', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform সবআর, af: ['সব', 'pn', '', 'pl', '', 'o', 'এর', 'এর']
Suffix ত not at end of wordform সরঞ্জআম, af: ['সর', 'v', '', '', '1', '', 'ত', 'ত']
Suffix ভএ not at end of wordform সরএ, af: ['সর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix কএ not at end of wordform সহযআত্রঈদএর, af: ['সহযাত্রী', 'n', '', 'pl', '', 'o', 'কে', 'কে']
Suffix এর not at end of wordform সঈমআনআর, af: ['সীমানা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform সএরএ, af: ['সার', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform সএরএ, af: ['সার', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix মএ not at end of wordform সওফআয়, af: ['সোফা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform হই, af: ['হ', 'v', '', '', '1', '', 'নে', 'নে']
Suffix ভএ not at end of wordform হটএ, af: ['হট', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix আই not at end of wordform হতএই, af: ['হ', 'v', '', '', 'any', '', 'আই', 'আই']
Suffix তএ not at end of wordform হবএ, af: ['কর', 'v', '', '', 'any', '', 'তে', 'তে']
Suffix মএ not at end of wordform হআওয়আয়, af: ['হাওয়া', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform হএঁটএ, af: ['হাঁট', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform হএঁটএ, af: ['হাঁট', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform হএসএ, af: ['হাস', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform হয়, af: ['হ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix এনই not at end of wordform হয়নই, af: ['হ', 'v', '', '', '3', '', 'এনি', 'এনি']
Suffix ভএ not at end of wordform হয়এ, af: ['হ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform হয়এ, af: ['হ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform হয়এ, af: ['হ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform হয়এ, af: ['হ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform হয়এ, af: ['হ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform হয়এ, af: ['হ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএই not at end of wordform হয়এই, af: ['হ', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix ভএই not at end of wordform হয়এই, af: ['হ', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix আ not at end of wordform হয়এছএ, af: ['দে', 'v', '', '', 'any', '', 'আ', 'আ']
