Suffix ्यातील not at position 4, 10, of wordform अगर्‍यातील, af: ['अगरा', 'n', '', '', '', '', '्यातील', '्यातील']
Suffix 3 not at position 3, 4, of wordform गेला, af: ['pas', 'ak', 'p', 'जा', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform गेली, af: ['p', 'ak', 'pas', 'जा', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform गेली, af: ['p', 'pas', 'ak', 'जा', 'v', 'f', 'sg', '3']
Suffix ले not at position 2, 4, of wordform गेली, af: ['जा', 'v', 'n', 'sg', '3', '', 'ले', 'ले']
Suffix 3 not at position 3, 4, of wordform गेले, af: ['p', 'ak', 'pas', 'जा', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform गेले, af: ['p', 'pas', 'ak', 'जा', 'v', 'm', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform गेल्या, af: ['p', 'ak', 'pas', 'जा', 'v', 'f', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform गेल्या, af: ['p', 'ak', 'pas', 'जा', 'v', 'f', 'pl', '3']
Suffix 1 not at position 8, 9, of wordform गोंदीसाठी, af: ['h', 'ak', 'pas', 'गोंद', 'v', 'm', 'sg', '1']
Suffix kr not at position 8, 10, of wordform गौरविण्यात, af: ['गौरव', 'v', '', '', '', '', 'ि_ण्यात', 'kr']
Suffix kr not at position 8, 10, of wordform गौरविण्यात, af: ['गौरव', 'v', '', '', '', 'o', 'ि_ण्यात', 'kr']
Suffix tn not at position 7, 9, of wordform घडवणाऱ्या, af: ['घडव', 'v', '', 'pl', '', 'o', 'णाऱ्या', 'tn']
Suffix च्या not at position 6, 10, of wordform घराच्याजवळ, af: ['घर', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 9, 10, of wordform घराच्याजवळ, af: ['घर', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix च्या not at position 2, 6, of wordform घराजवळ, af: ['घर', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 5, 6, of wordform घराजवळ, af: ['घर', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix d not at position 6, 7, of wordform घातलेला, af: ['l_kr', 'kr', 'घा', 'v', 'm', 'sg', '', 'd']
Suffix 3 not at position 5, 6, of wordform घालतात, af: ['h', 'ak', 'pre', 'घाल', 'v', 'm', 'pl', '3']
Suffix ू not at position 3, 4, of wordform घुसु, af: ['घुस', 'v', '', '', '', '', 'ू', 'ू']
Suffix o not at position 7, 8, of wordform घेण्याचा, af: ['n_kr', 'kr', 'घे', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 9, 10, of wordform घेण्यासाठी, af: ['n_kr', 'kr', 'घे', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 4, 5, of wordform घेतले, af: ['p', 'kr', 'pas', 'घे', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform घेतले, af: ['pas', 'kr', 'p', 'घे', 'v', 'n', 'sg', '3']
Suffix d not at position 6, 7, of wordform घेरलेला, af: ['l_kr', 'kr', 'घेर', 'v', 'm', 'sg', '', 'd']
Suffix imp not at position 1, 4, of wordform घ्या, af: ['घे', 'v', 'm', 'pl', '2', 'o', '्या', 'imp']
Suffix d not at position 3, 4, of wordform चढणे, af: ['n_kr', 'kr', 'चढ', 'v', 'n', 'sg', '', 'd']
Suffix ्यावर not at position 6, 11, of wordform चबूतर्‍यावर, af: ['चबूतरा', 'n', 'm', 'sg', '3', '', '्यावर', '्यावर']
Suffix ्यावर not at position 5, 10, of wordform चव्हाटयावर, af: ['चव्हाटा', 'n', 'm', 'sg', '', '', '्यावर', '्यावर']
Suffix या---े not at position 9, 15, of wordform चांगल्याप्रकारे, af: ['चांगल्याप्रकार', 'n', 'm', '', '', 'o', 'े', '्_या---े']
Suffix ् not at position 14, 15, of wordform चांगल्याप्रकारे, af: ['चांगल्याप्रकार', 'n', 'm', '', '', 'o', 'े', '्_या---े']
Suffix ंनी not at position 1, 4, of wordform चारी, af: ['चारी', 'n', 'f', 'pl', '3', '', 'ंनी', 'ंनी']
Suffix tn not at position 7, 9, of wordform चालणाऱ्या, af: ['चाल', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix ले not at position 3, 5, of wordform चालली, af: ['चाल', 'v', 'f', 'sg', '1', '', 'ले', 'ले']
Suffix tn not at position 8, 10, of wordform चालवणाऱ्या, af: ['चालव', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix tn not at position 8, 10, of wordform चालवणाऱ्या, af: ['चालव', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix o not at position 6, 7, of wordform चालविणे, af: ['n_kr', 'kr', 'चालव', 'v', 'n', 'sg', '', 'o']
Suffix चा not at position 9, 11, of wordform चिन्नारच्या, af: ['चिन्नार', 'n', 'n', 'sg', '', 'o', 'चा', 'चा']
Suffix े not at position 3, 4, of wordform चौथा, af: ['चौथा', 'num', '', '', '', '', 'े', 'े']
Suffix ावरुन not at position 2, 7, of wordform छतावरून, af: ['छत', 'n', 'n', 'sg', '', 'd', '', 'ावरुन']
Suffix ं not at position 6, 7, of wordform छत्र्या, af: ['छत्री', 'n', 'f', 'pl', '', 'o', 'ं', '्या_ं']
Suffix 3 not at position 4, 5, of wordform जगतात, af: ['h', 'pre', 'ak', 'जग', 'v', 'm', 'pl', '3']
Suffix े not at position 8, 9, of wordform जनावरे..., af: ['जनावर', 'n', 'n', 'pl', '', 'o', 'े', 'े']
Suffix o not at position 7, 8, of wordform जपण्याची, af: ['n_kr', 'kr', 'जप', 'v', 'n', 'sg', '', 'o']
Suffix ची not at position 3, 5, of wordform जपानी, af: ['जपान', 'n', 'm', 'sg', '', 'o', 'ची', 'ची']
Suffix च्या not at position 2, 6, of wordform जमि<fs, af: ['जमिनीच्या', 'n', 'f', 'sg', '', 'o', 'च्या', 'ी_च्या']
Suffix ी not at position 5, 6, of wordform जमि<fs, af: ['जमिनीच्या', 'n', 'f', 'sg', '', 'o', 'च्या', 'ी_च्या']
Suffix चे not at position 2, 4, of wordform जवळच, af: ['जवळ', 'nst', '', '', '', '', 'चे', 'चे']
Suffix चे not at position 4, 6, of wordform जवळजवळ, af: ['जवळजवळ', 'nst', '', '', '', '', 'चे', 'चे']
Suffix चे not at position 4, 6, of wordform जवळजवळ, af: ['जवळजवळ', 'nst', '', '', '', '', 'चे', 'चे']
Suffix े not at position 1, 2, of wordform जसजसे, af: ['जसा', 'pn', 'm', 'pl', '', 'd', '', 'े_जसे']
Suffix d not at position 3, 4, of wordform जाणे, af: ['n_kr', 'kr', 'जा', 'v', 'n', 'sg', '', 'd']
Suffix o not at position 7, 8, of wordform जाण्याचा, af: ['n_kr', 'kr', 'जा', 'v', 'n', 'sg', '', 'o']
Suffix च्या not at position 4, 8, of wordform जाण्याचा, af: ['जा', 'v', 'n', 'sg', '', 'o', 'च्या', 'ण्या_च्या']
Suffix ण्या not at position 4, 8, of wordform जाण्याचा, af: ['जा', 'v', 'n', 'sg', '', 'o', 'च्या', 'ण्या_च्या']
Suffix o not at position 9, 10, of wordform जाण्यासाठी, af: ['n_kr', 'kr', 'जा', 'v', 'n', 'sg', '', 'o']
Suffix ली not at position 1, 3, of wordform जात, af: ['कर', 'v', 'f', 'sg', '', 'd', 'ली', 'ली']
Suffix 3 not at position 4, 5, of wordform जातात, af: ['h', 'ak', 'pre', 'जा', 'v', 'f', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform जातात, af: ['h', 'ak', 'pre', 'जा', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform जातात, af: ['h', 'ak', 'pre', 'जा', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform जातात, af: ['h', 'pre', 'ak', 'जा', 'v', 'f', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform जातात, af: ['h', 'pre', 'ak', 'जा', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform जातात, af: ['pre', 'ak', 'h', 'जा', 'v', 'f', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform जातात, af: ['pre', 'ak', 'h', 'जा', 'v', 'm', 'pl', '3']
Suffix ते not at position 3, 5, of wordform जातात, af: ['जा', 'v', '', '', '', '', 'ते', 'ते']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['ak', 'p', 'pas', 'जा', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['ak', 'p', 'pas', 'जा', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['h', 'ak', 'pre', 'जा', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['h', 'ak', 'pre', 'जा', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['h', 'ak', 'pre', 'जा', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['h', 'pre', 'ak', 'जा', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['h', 'pre', 'ak', 'जा', 'v', 'n', 'sg', '3']
Suffix 1 not at position 3, 4, of wordform जाते, af: ['pre', 'ak', 'h', 'जा', 'v', 'f', 'sg', '1']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['pre', 'ak', 'h', 'जा', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['pre', 'ak', 'h', 'जा', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['pre', 'ak', 'h', 'जा', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जाते, af: ['pre', 'ak', 'h', 'जा', 'v', 'n', 'sg', '3']
Suffix ते not at position 2, 4, of wordform जातो, af: ['ak', 'जा', 'v', 'n', 'sg', '3', '', 'ते']
Suffix 3 not at position 3, 4, of wordform जातो, af: ['h', 'ak', 'pre', 'जा', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जातो, af: ['h', 'ak', 'pre', 'जा', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जातो, af: ['h', 'ak', 'pre', 'जा', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जातो, af: ['h', 'pre', 'ak', 'जा', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जातो, af: ['pre', 'ak', 'h', 'जा', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform जातो, af: ['pre', 'ak', 'h', 'जा', 'v', 'm', 'sg', '3']
Suffix m not at position 2, 3, of wordform जाव, af: ['जा', 'v', '', '', '', '', 'व', 'm']
Suffix ावं not at position 0, 3, of wordform जाव, af: ['जा', 'v', 'n', 'sg', '3', '', 'ावं', 'ावं']
Suffix i not at position 3, 4, of wordform जावो, af: ['जा', 'v', '', '', '', 'o', 'वो', 'i']
Suffix ात not at position 3, 5, of wordform जास्त, af: ['जास्त', 'n', 'n', 'sg', '', 'o', '', 'ात']
Suffix ुंना not at position 6, 10, of wordform जीवजंतूंना, af: ['जीवजंतु', 'n', 'n', 'pl', '', 'o', 'ुंना', 'ुंना']
Suffix ा not at position 12, 13, of wordform झाडा-झुडपांनी, af: ['झाड-झुडप', 'n', 'n', 'pl', '', 'o', 'ा', 'ा']
Suffix 3 not at position 3, 4, of wordform झाला, af: ['p', 'ak', 'pas', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform झाला, af: ['p', 'pas', 'ak', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform झाला, af: ['p', 'pas', 'ak', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform झाली, af: ['p', 'ak', 'pas', 'हो', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform झाली, af: ['pas', 'ak', 'p', 'हो', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform झाले, af: ['p', 'ak', 'pas', 'हो', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform झाले, af: ['p', 'pas', 'ak', 'हो', 'v', 'n', 'sg', '3']
Suffix o not at position 8, 9, of wordform झोपण्याचा, af: ['kr', 'n_kr', 'झोप', 'v', 'n', 'sg', '', 'o']
Suffix ्यांनी not at position 6, 12, of wordform टक्‍क्‍यांनी, af: ['टक्\u200dका', 'n', 'm', 'pl', '', '', '्यांनी', '्यांनी']
Suffix ्यांवरून not at position 6, 14, of wordform टक्‍क्‍यांवरून, af: ['टक्\u200dका', 'n', 'm', 'pl', '', '', '्यांवरून', '्यांवरून']
Suffix 3 not at position 5, 6, of wordform टाकतात, af: ['h', 'ak', 'pre', 'टाक', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform टाकले, af: ['p', 'ak', 'pas', 'टाक', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform टाळले, af: ['p', 'ak', 'pas', 'टाळ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform ठरवतात, af: ['h', 'ak', 'pre', 'ठरव', 'v', 'm', 'pl', '3']
Suffix चे not at position 4, 6, of wordform ठिकाणी, af: ['ठिकाण', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix ां not at position 4, 6, of wordform ठिकाणी, af: ['ठिकाण', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix d not at position 4, 5, of wordform ठेवणे, af: ['n_kr', 'kr', 'ठेव', 'v', 'n', 'sg', '', 'd']
Suffix 3 not at position 4, 5, of wordform ठेवते, af: ['h', 'pre', 'ak', 'ठेव', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform ठेवले, af: ['p', 'ak', 'pas', 'ठेव', 'v', 'n', 'sg', '3']
Suffix स्‌ not at position 8, 11, of wordform इव्हेंटस्‌'चा, af: ['इव्हेंट', 'n', 'm', 'pl', '', 'o', 'चा', 'स्\u200c_चा']
Suffix 3 not at position 4, 5, of wordform ढकलले, af: ['pas', 'ak', 'p', 'ढकल', 'v', 'f', 'sg', '3']
Suffix ा not at position 8, 9, of wordform दुष्काळा'शी, af: ['दुष्काळ', 'n', 'm', 'sg', '', 'o', 'शी', 'ा_शी']
Suffix pas not at position 3, 6, of wordform ढासळले, af: ['ढासळ', 'v', 'n', 'sg', '3', 'ले', 'ले', 'pas']
Suffix ा not at position 5, 6, of wordform तलावा'च्या, af: ['तलाव', 'n', 'm', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix 3 not at position 4, 5, of wordform तळतात, af: ['pre', 'ak', 'h', 'तळ', 'v', 'n', 'pl', '3']
Suffix ां not at position 6, 8, of wordform तात्यां'च्या, af: ['तात्या', 'n', 'm', '', '', '', 'च्या', 'ां_च्या']
Suffix े not at position 8, 9, of wordform तारखेच्या, af: ['तारीख', 'n', 'f', 'sg', '', 'o', 'े', 'े']
Suffix ा not at position 11, 12, of wordform तुडवड्यामुळे, af: ['तुडवडा', 'n', 'm', '', '', 'o', 'ा', 'ा']
Suffix ्यावर not at position 3, 8, of wordform तेवढयावर, af: ['तेवढे', 'pn', '', '', '', '', '्यावर', '्यावर']
Suffix ची not at position 13, 15, of wordform त्याच्याअंतर्गत, af: ['त्याच्याअंतर्गत', 'pn', 'n', 'sg', '', 'o', 'ची', '्या_ची']
Suffix ्या not at position 12, 15, of wordform त्याच्याअंतर्गत, af: ['त्याच्याअंतर्गत', 'pn', 'n', 'sg', '', 'o', 'ची', '्या_ची']
Suffix च्या not at position 9, 13, of wordform त्याच्याबद्दल, af: ['तो', 'pn', 'm', 'sg', '', 'o', 'च्या', '्या_च्या']
Suffix ्या not at position 10, 13, of wordform त्याच्याबद्दल, af: ['तो', 'pn', 'm', 'sg', '', 'o', 'च्या', '्या_च्या']
Suffix ्या-तील not at position 0, 7, of wordform त्यातील, af: ['तो', 'pn', '', '', '', 'o', 'तील', '्या-तील']
Suffix kr not at position 3, 5, of wordform थडकले, af: ['थडक', 'v', 'n', 'sg', '3', 'o', 'ले', 'kr']
Suffix ली not at position 7, 9, of wordform थरालीवरून, af: ['थरालीवरून', 'n', 'm', 'sg', '', 'o', 'ली', 'ा_ली']
Suffix ा not at position 8, 9, of wordform थरालीवरून, af: ['थरालीवरून', 'n', 'm', 'sg', '', 'o', 'ली', 'ा_ली']
Suffix 3 not at position 6, 7, of wordform थांबवतो, af: ['h', 'ak', 'pre', 'थांबव', 'v', 'm', 'sg', '3']
Suffix सुद्धा not at position 0, 6, of wordform थोडीही, af: ['थोडा', 'adv', '', '', '', '', 'सुद्धा', 'ी_सुद्धा']
Suffix ्या not at position 3, 6, of wordform दर्‍या, af: ['दरी', 'n', 'f', 'pl', '3', '', '्या', '्या']
Suffix ्यांनी not at position 3, 9, of wordform दर्‍यांनी, af: ['दरी', 'n', 'f', 'pl', '', '', '्यांनी', '्यांनी']
Suffix ्यांमध्ये not at position 3, 12, of wordform दर्‍यांमध्ये, af: ['दरी', 'n', 'f', 'pl', '3', '', '्यांमध्ये', '्यांमध्ये']
Suffix चे not at position 5, 7, of wordform दर्जाची, af: ['दर्जा', 'n', 'm', 'sg', '', 'o', 'चे', 'चे']
Suffix 3 not at position 6, 7, of wordform दर्शवते, af: ['h', 'ak', 'pre', 'दर्शव', 'v', 'n', 'sg', '3']
Suffix pas not at position 5, 8, of wordform दर्शविली, af: ['दर्शविली', 'v', 'f', 'sg', '3', 'o', 'ि_ली', 'pas']
Suffix ं not at position 4, 5, of wordform दहावे, af: ['दहावा', 'num', '', '', '', '', 'ं', 'े_ं']
Suffix 3 not at position 5, 6, of wordform दाखवते, af: ['h', 'ak', 'pre', 'दाखव', 'v', 'n', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform दाखवतो, af: ['h', 'ak', 'pre', 'दाखव', 'v', 'm', 'sg', '3']
Suffix d not at position 7, 8, of wordform दाखवलेला, af: ['l_kr', 'kr', 'दाखव', 'v', 'm', 'sg', '', 'd']
Suffix kr not at position 8, 10, of wordform दाखविण्यात, af: ['दाखव', 'v', '', 'sg', '', 'o', 'ण्यात', 'kr']
Suffix 3 not at position 6, 7, of wordform दाखविले, af: ['p', 'ak', 'pas', 'दाखव', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform दिला, af: ['p', 'ak', 'pas', 'दे', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform दिला, af: ['pas', 'ak', 'p', 'दे', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform दिली, af: ['p', 'ak', 'pas', 'दे', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform दिसते, af: ['h', 'ak', 'pre', 'दिस', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform दिसतो, af: ['h', 'pre', 'ak', 'दिस', 'v', 'm', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform दिसतो, af: ['pre', 'ak', 'h', 'दिस', 'v', 'm', 'sg', '3']
Suffix न not at position 6, 7, of wordform दुकानांवर, af: ['दुकान', 'n', 'n', 'sg', '', 'o', 'वर', 'ा_ं_न_वर']
Suffix च्या not at position 11, 15, of wordform दुकानाच्यापुढून, af: ['दुकान', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 14, 15, of wordform दुकानाच्यापुढून, af: ['दुकान', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix च्या not at position 12, 16, of wordform दुकानाच्यासमोरून, af: ['दुकान', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 15, 16, of wordform दुकानाच्यासमोरून, af: ['दुकान', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ं not at position 5, 6, of wordform दुकाने, af: ['दुकान', 'n', 'n', 'pl', '', 'd', '', 'े_ं']
Suffix च्या not at position 9, 13, of wordform दुधाच्याशिवाय, af: ['दूध', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 12, 13, of wordform दुधाच्याशिवाय, af: ['दूध', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix च्या not at position 5, 9, of wordform दुधाशिवाय, af: ['दूध', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 8, 9, of wordform दुधाशिवाय, af: ['दूध', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ं not at position 5, 6, of wordform दृश्ये, af: ['दृश्य', 'n', 'n', 'pl', '', 'd', '', 'े_ं']
Suffix ना not at position 4, 6, of wordform दृश्ये, af: ['दृश्य', 'n', 'n', 'pl', '', 'o', 'ना', 'ां_ना']
Suffix ां not at position 4, 6, of wordform दृश्ये, af: ['दृश्य', 'n', 'n', 'pl', '', 'o', 'ना', 'ां_ना']
Suffix ला not at position 4, 6, of wordform दृश्ये, af: ['दृश्य', 'n', 'n', 'sg', '', 'o', 'ला', 'ा_ला']
Suffix ा not at position 5, 6, of wordform दृश्ये, af: ['दृश्य', 'n', 'n', 'sg', '', 'o', 'ला', 'ा_ला']
Suffix ऱ्यांच्य not at position 5, 13, of wordform देणाऱ्यांच्या, af: ['दे', 'v', 'm', 'pl', '', 'o', 'kr', 'ऱ्यांच्य']
Suffix o not at position 7, 8, of wordform देण्याचा, af: ['n_kr', 'kr', 'दे', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 9, 10, of wordform देण्याच्या, af: ['n_kr', 'kr', 'दे', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 9, 10, of wordform देण्यासाठी, af: ['n_kr', 'kr', 'दे', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 4, 5, of wordform देतात, af: ['h', 'ak', 'pre', 'दे', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform देते, af: ['h', 'ak', 'pre', 'दे', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform देते, af: ['h', 'ak', 'pre', 'दे', 'v', 'n', 'sg', '3']
Suffix ते not at position 6, 8, of wordform देतेवेळी, af: ['देतेवेळी', 'v', 'n', 'sg', '3', '', 'ते', 'ते']
Suffix 1 not at position 3, 4, of wordform देतो, af: ['p', 'pas', 'c', 'दे', 'v', 'm', 'pl', '1']
Suffix च्या not at position 4, 8, of wordform देवदारांमध्ये, af: ['देवदार', 'n', 'm', 'pl', '3', '', 'ां_च्या_मध्ये', 'ां_च्या_मध्ये']
Suffix च्या not at position 8, 12, of wordform दोघांच्यामधे, af: ['दोघांच्या', 'pn', 'm', '', '', 'o', 'च्या', 'ां_च्या']
Suffix ां not at position 10, 12, of wordform दोघांच्यामधे, af: ['दोघांच्या', 'pn', 'm', '', '', 'o', 'च्या', 'ां_च्या']
Suffix च्या not at position 10, 14, of wordform दोघांच्यामध्ये, af: ['दोघांच्या', 'pn', 'm', '', '', 'o', 'च्या', 'ां_च्या']
Suffix ां not at position 12, 14, of wordform दोघांच्यामध्ये, af: ['दोघांच्या', 'pn', 'm', '', '', 'o', 'च्या', 'ां_च्या']
Suffix चे not at position 9, 11, of wordform धान्यांच्या, af: ['धान्य', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix ां not at position 9, 11, of wordform धान्यांच्या, af: ['धान्य', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix o not at position 9, 10, of wordform धुण्यासाठी, af: ['n_kr', 'kr', 'धु', 'v', 'n', 'sg', '', 'o']
Suffix ं not at position 4, 5, of wordform नद्या, af: ['नदी', 'n', 'f', 'pl', '', 'd', 'ं', '्या_ं']
Suffix pas not at position 2, 5, of wordform नरमले, af: ['नरम', 'v', 'm', 'pl', '3', 'o', 'ले', 'pas']
Suffix ् not at position 5, 6, of wordform नव्हता, af: ['नस', 'v', 'm', 'sg', '3', '', 'ता', '्']
Suffix ् not at position 0, 1, of wordform नव्हती, af: ['नस', 'v', 'f', 'sg', '3', '', 'ती', '्_व्ह_ती']
Suffix व्हे not at position 0, 4, of wordform नव्हते, af: ['नस', 'v', 'n', 'sg', '3', '', 'ते', '_व्हे_ते']
Suffix ्या not at position 9, 12, of wordform नशापार्ट्यांमुळे, af: ['नशापार्ट्यां', 'n', 'f', 'pl', '', 'o', '्यामुळे', '्या_मुळे']
Suffix d not at position 6, 7, of wordform नांगरणे, af: ['n_kr', 'kr', 'नांगर', 'v', 'n', 'sg', '', 'd']
Suffix 3 not at position 3, 4, of wordform नाही, af: ['s', 'ak', 'pre', 'नस', 'v', '', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform नाही, af: ['s', 'pre', 'ak', 'नस', 'v', '', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform नाही, af: ['s', 'pre', 'ak', 'नस', 'v', '', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform नाही, af: ['s', 'ak', 'pre', 'नस', 'v', '', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform नाहीत, af: ['s', 'ak', 'pre', 'नाही', 'v', '', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform नाहीसा, af: ['s', 'pre', 'ak', 'नस', 'v', '', 'sg', '3']
Suffix d not at position 4, 5, of wordform निघणे, af: ['n_kr', 'kr', 'निघ', 'v', 'n', 'sg', '', 'd']
Suffix kr not at position 9, 11, of wordform निर्ढावलेले, af: ['निर्ढाव', 'v', 'n', 'sg', '3', 'o', 'लेले', 'kr']
Suffix d not at position 9, 10, of wordform निर्मिलेले, af: ['l_kr', 'kr', 'निर्मि', 'n', '', 'sg', '', 'd']
Suffix d not at position 3, 4, of wordform पडणे, af: ['n_kr', 'kr', 'पड', 'v', 'n', 'sg', '', 'd']
Suffix o not at position 7, 8, of wordform पडण्याची, af: ['n_kr', 'kr', 'पड', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 4, 5, of wordform पडतात, af: ['h', 'ak', 'pre', 'पड', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform पडले, af: ['p', 'ak', 'pas', 'पड', 'v', 'n', 'sg', '3']
Suffix ें not at position 4, 6, of wordform पथदिवे, af: ['पथदिवा', 'n', 'm', 'pl', '', '', 'े', 'ें']
Suffix ाःला not at position 3, 7, of wordform परवताला, af: ['पर्वत', 'n', 'm', 'sg', '', 'o', 'ला', 'ाःला']
Suffix ां not at position 8, 10, of wordform पर्वतरांगाना, af: ['पर्वतरांग', 'n', 'f', 'pl', '3', '', 'ां_ना', 'ां_ना']
Suffix ांमधुन not at position 5, 11, of wordform पर्वतांमधून, af: ['पर्वत', 'n', 'm', 'pl', '3', '', 'ांमधुन', 'ांमधुन']
Suffix o not at position 7, 8, of wordform पळण्याची, af: ['n_kr', 'kr', 'पळ', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 4, 5, of wordform पसरली, af: ['pas', 'ak', 'p', 'पसर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform पसरले, af: ['p', 'ak', 'pas', 'पसर', 'v', 'n', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform पसरवला, af: ['pas', 'ak', 'p', 'पसरव', 'v', 'm', 'sg', '3']
Suffix ्-याची not at position 4, 10, of wordform पाटपाण्यची, af: ['पाटपाण्याची', 'n', 'n', 'sg', '', 'o', 'याची', '्-याची']
Suffix pas not at position 2, 5, of wordform पाडले, af: ['पाड', 'v', 'n', 'sg', '3', 'o', 'ले', 'pas']
