Root ಬಗಎ not at position 0, of wordform ಅಡಿಯ, normalized ಅಡಇಯ, af: ['ಬಗೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ', 'eVy+a']
Morpheme aಇಂದ not at position 7, of wordform ದಾಖಲೆಯಿಂದ, normalized ದಆಖಲಎಯಇಂದ, af: ['ದಾಖಲೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಇ+aಇಂದ', 'eVy+i+iMxa']
Morpheme ಅಲ್ಲಇ not at position 4, of wordform ದೂರದ, normalized ದಊರದ, af: ['ದೂರ', 'n', '', 'sg', '3', '', 'ಅದ್+ಅ+ಅಲ್ಲಿ', 'ax+a+alli']
Morpheme ಅವ್ not at position 5, of wordform ದೃಶ್ಯ, normalized ದಋಶ್ಯ, af: ['ದೃಶ್ಯ', 'n', '', 'sg', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು', 'av+a+annu']
Morpheme ಅನ್ನಉ not at position 5, of wordform ದೃಶ್ಯ, normalized ದಋಶ್ಯ, af: ['ದೃಶ್ಯ', 'n', '', 'sg', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು', 'av+a+annu']
Morpheme ಅಕ್ಕಎ not at position 11, of wordform ದೊರೆತಿರುವುದು, normalized ದಒರಎತಇರಉವಉದಉ, af: ['ದೊರೆ', 'v', '', '', '', '', 'ಎತ್+ಇ+ಇರು+ಉವ್+ಉ+ಉದ್+ಅ+ಅಕ್ಕೆ', 'eVw+i+iru+uv+u+ux+a+akkeV']
Root ಹಏಳಉ not at position 0, of wordform ಧರಿಸಿದ್ದಕ್ಕಾಗಿ, normalized ಧರಇಸಇದ್ದಕ್ಕಆಗಇ, af: ['ಹೇಳು', 'v', '', 'sg', '3', '', 'ಇದ್+ಅ+ಅಕ್ಕ್+ಆ+ಆಗು+ಇ', 'ix+a+akk+Agu+i']
Morpheme eVx not at position 4, of wordform ನಡೆದ, normalized ನಡಎದ, af: ['ನಡೆ', 'v', '', '', '', '', 'ಎದ್+ಅ+eVx+a', '']
Morpheme ಅದ್ not at position 11, of wordform ನಡೆಸಲಾಗುತ್ತವೆ, normalized ನಡಎಸಲಆಗಉತ್ತವಎ, af: ['ನಡೆಸು', 'v', '', 'sg', '3', '', 'ಅ+ಅಲ್+ಆ+ಆಗು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'a+al+A+Agu+uww+a+ax+eV']
Morpheme ದ್ not at position 5, of wordform ನಿಂತಿವೆ, normalized ನಇಂತಇವಎ, af: ['ನಿಲ್ಲು', 'v', '', 'pl', '3', '', 'ಂತ್+ಇ+ಇರು+ದ್+ಎ', 'Mw+i+iru+x+eV']
Morpheme ಅಲ್ಲಇ not at position 5, of wordform ನಿತ್ಯ, normalized ನಇತ್ಯ, af: ['ನಿತ್ಯ', 'n', '', 'sg', '3', 'o', 'ಅಲ್ಲಿ', 'alli']
Morpheme ಮ್ not at position 1, of wordform ನಿನಗಾಗಿ, normalized ನಇನಗಆಗಇ, af: ['ನೀನು', 'pn', 'any', 'pl', '1', 'o', 'ಮ್+ಅ+ಗ್+ಆ+ಆಗು+ಇ', 'm+a+g+A+Agu+i']
Morpheme ಅವ್ not at position 4, of wordform ನಿಯಮಗಳನ್ನು, normalized ನಇಯಮಗಳನ್ನಉ, af: ['ನಿಯಮ', 'n', '', 'pl', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು', 'av+a+annu']
Morpheme ಅವ್ not at position 7, of wordform ನಿರ್ಮಾಣ, normalized ನಇರ್ಮಆಣ, af: ['ನಿರ್ಮಾಣ', 'n', '', 'sg', '3', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Morpheme ದ್ not at position 6, of wordform ನಿರ್ಮಾಣ, normalized ನಇರ್ಮಆಣ, af: ['ನಿರ್ಮಾಣ', 'n', '', 'sg', '3', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಮನಓಹರ not at position 0, of wordform ನ್ಯಾಯವಾದ, normalized ನ್ಯಆಯವಆದ, af: ['ಮನೋಹರ', 'adj', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಮಉಸ್ಲಇಮ not at position 0, of wordform ಪಂಚಬಕ್ಖತರ್, normalized ಪಂಚಬಕ್ಖತರ್, af: ['ಮುಸ್ಲಿಮ', 'n', 'any', 'pl', '3', 'o', 'ಅರ್+ಇ+ಇಂದ', 'ar+i+iMxa']
Root ಕ್ಷಏತ್ರ not at position 0, of wordform ಪಟ್ಟಣಗಳಲ್ಲಿ, normalized ಪಟ್ಟಣಗಳಲ್ಲಇ, af: ['ಕ್ಷೇತ್ರ', 'n', '', 'pl', '3', 'o', 'ಗಳು+ಅ+ಅಲ್ಲಿ', 'galYu+a+alli']
Morpheme ಉವ್ not at position 5, of wordform ಪಡೆದಿದೆ, normalized ಪಡಎದಇದಎ, af: ['ಪಡೆ', 'v', '', 'sg', '3', '', 'ಎದ್+ಇ+ಇರು+ಉವ್+ಅ', 'eVx+i+iru+uv+a']
Root ಲಕ್ಷಣ not at position 0, of wordform ಪದರಗಳು, normalized ಪದರಗಳಉ, af: ['ಲಕ್ಷಣ', 'n', '', 'pl', '3', 'o', 'ಗಳು', 'galYu']
Morpheme ದ್ not at position 9, of wordform ಪರಿಣಾಮವಾಗಿ, normalized ಪರಇಣಆಮವಆಗಇ, af: ['ಪರಿಣಾಮ', 'n', '', 'sg', '3', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಜಈವನ not at position 0, of wordform ಪರಿಸರದಿಂದ, normalized ಪರಇಸರದಇಂದ, af: ['ಜೀವನ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಇ+ಇಂದ', 'ax+i+iMxa']
Morpheme ಅಲ್ಲಇ not at position 7, of wordform ಪಾರ್ಕಿನ, normalized ಪಆರ್ಕಇನ, af: ['ಪಾರ್ಕ', 'n', '', 'sg', '3', 'o', 'ಇನ್+ಅ+ಅಲ್ಲಿ', 'in+a+alli']
Morpheme ಅಲ್ಲಇ not at position 6, of wordform ಪೂರ್ವದ, normalized ಪಊರ್ವದ, af: ['ಪೂರ್ವ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಅ+ಅಲ್ಲಿ', 'ax+a+alli']
Morpheme ಆದ not at position 7, of wordform ಪ್ರತ್ಯಯ, normalized ಪ್ರತ್ಯಯ, af: ['ಪ್ರತ್ಯಯ', 'n', '', 'sg', '3', 'o', 'ಆದ', 'Axa']
Morpheme ಅಲ್ಲಇ not at position 7, of wordform ಪ್ರದೇಶದ, normalized ಪ್ರದಏಶದ, af: ['ಪ್ರದೇಶ', 'n', '', '', '3', 'o', 'ಅದ್+ಅ+ಅಲ್ಲಿ', 'ax+a+alli']
Morpheme ಅವ್ not at position 8, of wordform ಪ್ರಫುಲ್ಲ, normalized ಪ್ರಫಉಲ್ಲ, af: ['ಪ್ರಫುಲ್ಲ', 'n', '', '', '', '', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಆಗಉ not at position 8, of wordform ಪ್ರಫುಲ್ಲ, normalized ಪ್ರಫಉಲ್ಲ, af: ['ಪ್ರಫುಲ್ಲ', 'n', '', '', '', '', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಇಯ್ not at position 5, of wordform ಬಂಗಲೆ, normalized ಬಂಗಲಎ, af: ['ಬಂಗಲೆ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅನ್ನು', 'iy+a+annu']
Morpheme ಅನ್ನಉ not at position 5, of wordform ಬಂಗಲೆ, normalized ಬಂಗಲಎ, af: ['ಬಂಗಲೆ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅನ್ನು', 'iy+a+annu']
Root ಹಒಣಎಗಆರಇಕಎ not at position 0, of wordform ಬಗ್ಗೆ, normalized ಬಗ್ಗಎ, af: ['ಹೊಣೆಗಾರಿಕೆ', 'avy', '', 'pl', '3', 'o', 'ಅನ್ನೂ', 'annU']
Root ಅನ್ನಊ not at position 0, of wordform ಬಗ್ಗೆ, normalized ಬಗ್ಗಎ, af: ['ಹೊಣೆಗಾರಿಕೆ', 'avy', '', 'pl', '3', 'o', 'ಅನ್ನೂ', 'annU']
Morpheme ಇರಉ not at position 6, of wordform ಬದಲಾಗುತ್ತದೆ, normalized ಬದಲಆಗಉತ್ತದಎ, af: ['ಬದಲಾಗು', 'v', '', 'sg', '3', '', 'ಇರು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'iru+uww+a+ax+eV']
Morpheme ಆಲ್ not at position 2, of wordform ಬರಲು, normalized ಬರಲಉ, af: ['ಬರು', 'v', '', '', '', '', 'ಅ+ಆಲ್+ಉ', 'a+al+u']
Morpheme ದ್ದ್ not at position 3, of wordform ಬರುವ, normalized ಬರಉವ, af: ['ಬರು', 'v', '', '', '', '', 'ಉತ್ತ್+ಇ+ಇರು+ದ್ದ್+ಅ', 'uww+i+iru+xx+a']
Morpheme ಉವ್ not at position 2, of wordform ಬರೋದಿಲ್ಲ, normalized ಬರಓದಇಲ್ಲ, af: ['ಬರು', 'v', '', 'sg', '3', '', 'ಉವ್+ಉ+ಉದ್+ಇ+ಇಲ್ಲ', 'uv+u+ux+i+illa']
Morpheme ಉತ್ತ್ not at position 2, of wordform ಬೀದ್ದರೆ, normalized ಬಈದ್ದರಎ, af: ['ಬೀಳು', 'v', '', 'sg', '3', '', 'ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'uww+a+ax+eV']
Morpheme alli not at position 11, of wordform ಬುಟ್ಟಿಯಲ್ಲಿ, normalized ಬಉಟ್ಟಇಯಲ್ಲಇ, af: ['ಬುಟ್ಟಿ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅಲ್ಲಿiy+a+alli', '']
Morpheme ಅಲ್ not at position 12, of wordform ಬೆಚ್ಚಿಬೀಳಿಸುತ್ತದೆ, normalized ಬಎಚ್ಚಇಬಈಳಇಸಉತ್ತದಎ, af: ['ಬೆಚ್ಚಿಬೀಳಿಸು', 'v', '', 'sg', '3', '', 'ಅ+ಅಲ್+ಆ+ಆಗು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'uww+a+ax+eV']
Morpheme ಆಗಉ not at position 12, of wordform ಬೆಚ್ಚಿಬೀಳಿಸುತ್ತದೆ, normalized ಬಎಚ್ಚಇಬಈಳಇಸಉತ್ತದಎ, af: ['ಬೆಚ್ಚಿಬೀಳಿಸು', 'v', '', 'sg', '3', '', 'ಅ+ಅಲ್+ಆ+ಆಗು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'uww+a+ax+eV']
Root ಲಓಹಜಂಗ not at position 0, of wordform ಬೆದನಿಕುಂಡದಿಂದ, normalized ಬಎದನಇಕಉಂಡದಇಂದ, af: ['ಲೋಹಜಂಗ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಇ+ಇಂದ', 'ax+i+iMxa']
Root ವರ್ಷ not at position 0, of wordform ಬೆಲೆಯನ್ನು, normalized ಬಎಲಎಯನ್ನಉ, af: ['ವರ್ಷ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ+ಅನ್ನು', 'eVy+a+annu']
Root ಬಸದಇ not at position 0, of wordform ಭಕ್ತಿಯನ್ನೂ, normalized ಭಕ್ತಇಯನ್ನಊ, af: ['ಬಸದಿ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅನ್ನ್+ಊ', 'iy+a+ann+U']
Morpheme ಅಲ್ಲಇ not at position 9, of wordform ಭದ್ರಕಾಳಿಯ, normalized ಭದ್ರಕಆಳಇಯ, af: ['ಭದ್ರಕಾಳಿ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅಲ್ಲಿ', 'iy+a+alli']
Morpheme ಅಲ್ಲಇ not at position 5, of wordform ಭಾರತದ, normalized ಭಆರತದ, af: ['ಭಾರತ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಅ+ಅಲ್ಲಿ', 'ax+a+alli']
Morpheme ಆದ್ not at position 5, of wordform ಮಂದಿರದ, normalized ಮಂದಇರದ, af: ['ಮಂದಿರ', 'n', '', 'sg', '3', 'o', 'ಆದ್+ಅ', 'ax+a']
Morpheme ಗಳಉ not at position 5, of wordform ಮಕ್ಕಳಂತೆ, normalized ಮಕ್ಕಳಂತಎ, af: ['ಮಕ್ಕಳು', 'n', 'any', 'pl', '3', 'o', 'ಗಳು+ಅ+ಅಂತೆ', 'galYu+a+aMweV']
Morpheme ಇರಉ not at position 7, of wordform ಮಾಡಲಾಗುತ್ತದೆ, normalized ಮಆಡಲಆಗಉತ್ತದಎ, af: ['ಮಾಡು', 'v', '', 'sg', '3', '', 'ಅ+ಅಲ್+ಆ+ಆಗು+ಇ+ಇರು+ದ್+ಎ', 'a+al+A+Agu+i+iru+x+eV']
Morpheme ix not at position 5, of wordform ಮಾಡಿದ, normalized ಮಆಡಇದ, af: ['ಮಾಡು', 'v', '', '', '', '', 'ಇ+ಇದ್+ಅ.i+ix+a', '']
Morpheme ಅವ್ not at position 7, of wordform ಮಾಡುತ್ತದೆ, normalized ಮಆಡಉತ್ತದಎ, af: ['ಮಾಡು', 'v', '', 'sg', '3', '', 'ಉತ್ತ್+ಅ+ಅವ್+ಎ', 'uww+a+ax+eV']
Morpheme ಅಲ್ಲ not at position 9, of wordform ಮಾಡುತ್ತೀಯ, normalized ಮಆಡಉತ್ತಈಯ, af: ['ಮಾಡು', 'v', '', 'sg', '3', '', 'ಉತ್ತ್+ಇ+ಇಯ್+ಅ+ಅಲ್ಲ', 'uww+i+iy+a']
Morpheme ಏರ್ not at position 7, of wordform ಮಾಡುತ್ತೀರಾ, normalized ಮಆಡಉತ್ತಈರಆ, af: ['ಮಾಡು', 'v', 'any', 'sg', '1', '', 'ತ್ತ್+ಏ+ಏರ್+ಅ', 'ww+e+er+a']
Root ತಯಆರಉಮಆಡಉ not at position 0, of wordform ಮಾಡುವ, normalized ಮಆಡಉವ, af: ['ತಯಾರುಮಾಡು', 'v', '', '', '', '', 'ಉವ್+ಅ', 'uv+a']
Morpheme ಇನ್ not at position 5, of wordform ಮೀಟರು, normalized ಮಈಟರಉ, af: ['ಮೀಟರು', 'n', '', 'sg', '3', 'o', 'ಇ+ಇನ್+ಅ+ಅಲ್ಲಿ', 'i+in+a+alli']
Morpheme ಅಲ್ಲಇ not at position 5, of wordform ಮೀಟರು, normalized ಮಈಟರಉ, af: ['ಮೀಟರು', 'n', '', 'sg', '3', 'o', 'ಇ+ಇನ್+ಅ+ಅಲ್ಲಿ', 'i+in+a+alli']
Morpheme ದ್ not at position 7, of wordform ರಕ್ಷಿಸವುಕ್ಕಾಗಿ, normalized ರಕ್ಷಇಸವಉಕ್ಕಆಗಇ, af: ['ರಕ್ಷಿಸು', 'v', '', 'sg', '3', 'o', 'ಉವ್+ದ್+ಅ+ಅಕ್ಕ್+ಆ+ಆಗು+ಇ', 'uv+x+a+akk+A+Agu+i']
Root ಮಐ not at position 0, of wordform ರಸ್ತೆಯಲ್ಲಿ, normalized ರಸ್ತಎಯಲ್ಲಇ, af: ['ಮೈ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅಲ್ಲಿ', 'iy+a+alli']
Morpheme ಅದ್ not at position 8, of wordform ರಾಜಸ್ಥಾನ, normalized ರಆಜಸ್ಥಆನ, af: ['ರಾಜಸ್ಥಾನ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಅ', 'ax+a']
Root ಸ್ನಏಹಇತ not at position 0, of wordform ರಾಮನನ್ನು, normalized ರಆಮನನ್ನಉ, af: ['ಸ್ನೇಹಿತ', 'n', 'any', 'sg', '3', 'o', 'ಅನ್+ಅ+ಅನ್ನು', 'an+a+annu']
Morpheme ಅಲ್ಲಇ not at position 5, of wordform ರೀತಿಯ, normalized ರಈತಇಯ, af: ['ರೀತಿ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅಲ್ಲಿ', 'iy+a+alli']
Morpheme ಅದ್ not at position 3, of wordform ರೂಪ, normalized ರಊಪ, af: ['ರೂಪ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಅ', 'ax+a']
Morpheme ಅದ್ not at position 7, of wordform ರೋಮಾಂಚನ, normalized ರಓಮಆಂಚನ, af: ['ರೋಮಾಂಚನ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಇ+ಇಂದ', 'ax+i+iMxa']
Morpheme ಅರ್ not at position 5, of wordform ವಯಸ್ಕ, normalized ವಯಸ್ಕ, af: ['ವಯಸ್ಕ', 'n', 'any', 'pl', '3', 'o', 'ಅರ್+ಅ', 'ar+a']
Root ಆಕಋತಇ not at position 0, of wordform ವಸತಿಗಳನ್ನು, normalized ವಸತಇಗಳನ್ನಉ, af: ['ಆಕೃತಿ', 'n', '', 'pl', '3', 'o', 'ಗಳು+ಅ+ಅನ್ನು', 'galYu+a+annu']
Morpheme ಆದ not at position 6, of wordform ವಿತರಣೆ, normalized ವಇತರಣಎ, af: ['ವಿತರಣೆ', 'n', '', 'sg', '3', 'o', 'ಆದ', 'Axa']
Morpheme ಅಲ್ಲಇ not at position 6, of wordform ವಿಶ್ವದ, normalized ವಇಶ್ವದ, af: ['ವಿಶ್ವ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಅ+ಅಲ್ಲಿ', 'ax+a+alli']
Morpheme ey not at position 8, of wordform ವ್ಯವಸ್ಥೆಯಲ್ಲಿ, normalized ವ್ಯವಸ್ಥಎಯಲ್ಲಇ, af: ['ವ್ಯವಸ್ಥೆ', 'n', '', 'sg', '3', 'o', 'ey+a+alli', 'ಎಯ್+ಅ+ಅಲ್ಲಿ']
Morpheme alli not at position 8, of wordform ವ್ಯವಸ್ಥೆಯಲ್ಲಿ, normalized ವ್ಯವಸ್ಥಎಯಲ್ಲಇ, af: ['ವ್ಯವಸ್ಥೆ', 'n', '', 'sg', '3', 'o', 'ey+a+alli', 'ಎಯ್+ಅ+ಅಲ್ಲಿ']
Morpheme ದ್ not at position 11, of wordform ವ್ಯವಸ್ಥೆಯಾಗಿ, normalized ವ್ಯವಸ್ಥಎಯಆಗಇ, af: ['ವ್ಯವಸ್ಥೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಆ+ಆಗು+ದ್+ಅ', 'eVy+A+Agu+x+a']
Morpheme ಅವ್ not at position 4, of wordform ಶೈಲಿಯನ್ನು, normalized ಶಐಲಇಯನ್ನಉ, af: ['ಶೈಲಿ', 'n', '', 'sg', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು', 'av+a+annu']
Morpheme ಅಲ್ಲಇ not at position 7, of wordform ಸಂಖ್ಯೆಯ, normalized ಸಂಖ್ಯಎಯ, af: ['ಸಂಖ್ಯೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ+ಅಲ್ಲಿ', 'eVy+a+alli']
Morpheme ಆಲ್ not at position 7, of wordform ಸಂತೋಷಿಸಲು, normalized ಸಂತಓಷಇಸಲಉ, af: ['ಸಂತೋಷಿಸು', 'v', '', 'sg', '', '', 'ಅ+ಆಲ್+ಉ', 'a+al+u']
Morpheme ಅವ್ not at position 6, of wordform ಸಮತಟ್ಟಾದ, normalized ಸಮತಟ್ಟಆದ, af: ['ಸಮತಟ್ಟು', 'adj', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Morpheme ಅವ್ not at position 4, of wordform ಸಮಾನ, normalized ಸಮಆನ, af: ['ಸಮಾನ', 'n', '', '', '', 'd', 'ಅವ್+ಆ+ಆಗು+ದ್+ಉ+ಉದ್+ಉ', 'av+A+Agu+x+u+ux+u']
Morpheme ದ್ not at position 3, of wordform ಸಮಾನ, normalized ಸಮಆನ, af: ['ಸಮಾನ', 'n', '', '', '', 'd', 'ಅವ್+ಆ+ಆಗು+ದ್+ಉ+ಉದ್+ಉ', 'av+A+Agu+x+u+ux+u']
Morpheme ಉದ್ not at position 3, of wordform ಸಮಾನ, normalized ಸಮಆನ, af: ['ಸಮಾನ', 'n', '', '', '', 'd', 'ಅವ್+ಆ+ಆಗು+ದ್+ಉ+ಉದ್+ಉ', 'av+A+Agu+x+u+ux+u']
Morpheme ಅವ್ not at position 3, of wordform ಸರಿಯಾಗಿ, normalized ಸರಇಯಆಗಇ, af: ['ಸರಿ', 'adv', '', '', '', '', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಅವ್ not at position 7, of wordform ಸಾಹಸಿಗರನ್ನು, normalized ಸಆಹಸಇಗರನ್ನಉ, af: ['ಸಾಹಸಿಗರು', 'n', 'any', 'pl', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು', 'av+a+annu']
Morpheme ಎಯ್ not at position 8, of wordform ಸುತ್ತಾಡುವ, normalized ಸಉತ್ತಆಡಉವ, af: ['ಸುತ್ತಾಡು', 'v', '', '', '', '', 'ಎಯ್+ಅ+ಅಲ್+ಪಡು+ಉವ್+ಅ', 'eVy+a+al+padu+v+a']
Morpheme ಅಲ್ not at position 8, of wordform ಸುತ್ತಾಡುವ, normalized ಸಉತ್ತಆಡಉವ, af: ['ಸುತ್ತಾಡು', 'v', '', '', '', '', 'ಎಯ್+ಅ+ಅಲ್+ಪಡು+ಉವ್+ಅ', 'eVy+a+al+padu+v+a']
Morpheme ಪಡಉ not at position 8, of wordform ಸುತ್ತಾಡುವ, normalized ಸಉತ್ತಆಡಉವ, af: ['ಸುತ್ತಾಡು', 'v', '', '', '', '', 'ಎಯ್+ಅ+ಅಲ್+ಪಡು+ಉವ್+ಅ', 'eVy+a+al+padu+v+a']
Morpheme ಕ್ಕ್ not at position 6, of wordform ಸುಳಿವು, normalized ಸಉಳಇವಉ, af: ['ಸುಳಿವು', 'n', '', 'sg', '3', '', 'ಕ್ಕ್+ಅ', 'kk+a']
Morpheme ಆಗಉ not at position 6, of wordform ಸುಸ್ತುದಕ್ಕೆ, normalized ಸಉಸ್ತಉದಕ್ಕಎ, af: ['ಸುಸ್ತು', 'v', '', 'sg', '3', '', 'ಆಗು+ದ್+ಅ+ಅಕ್ಕೆ', 'Agu+x+a+akkeV']
Morpheme galYu not at position 15, of wordform ಸೂಕ್ಷ್ಮದರ್ಶಕಗಳು, normalized ಸಊಕ್ಷ್ಮದರ್ಶಕಗಳಉ, af: ['ಸೂಕ್ಷ್ಮದರ್ಶಕ', 'n', '', 'pl', '3', 'd', 'ಗಳು+galYu', '']
Morpheme ಉವ್ not at position 4, of wordform ಸೂಸೋದರಿಂದ, normalized ಸಊಸಓದರಇಂದ, af: ['ಸೂಸೋ', 'v', '', 'sg', '3', '', 'ಉವ್+ಉ+ಉದ್+ಅ+ಅರ್+ಇ+ಇಂದ', 'uv+u+ux+a+ar+i+iMxa']
Morpheme ದ್ not at position 12, of wordform ಸೇರ್ಪಡೆಗೊಂಡಿವೆ, normalized ಸಏರ್ಪಡಎಗಒಂಡಇವಎ, af: ['ಸೇರ್ಪಡೆಗೊಳ್ಳು', 'v', '', 'sg', '3', '', 'ಂಡ್+ಇ+ಇರು+ದ್+ಎ', 'Md+i+iru+x+eV']
Morpheme ದ್ದ್ not at position 6, of wordform ಸೊಕ್ಕಿ, normalized ಸಒಕ್ಕಇ, af: ['ಸೊಕ್ಕು', 'n', '', '', '3', '', 'ಇ+ಇರು+ದ್ದ್+ಎ', 'i+iru+xx+eV']
Morpheme ಆಗಉ not at position 11, of wordform ಸೌಲಭ್ಯಗಳಿಗೆ, normalized ಸಔಲಭ್ಯಗಳಇಗಎ, af: ['ಸೌಲಭ್ಯ', 'n', '', 'pl', '3', 'o', 'ಗಳು+ಇ+ಇಗ್+ಎ+ಆಗು+ಇ', 'galYu+i+ig+eV+Agu+i']
Morpheme ಗಳಉ not at position 4, of wordform ಸ್ಥಳ, normalized ಸ್ಥಳ, af: ['ಸ್ಥಳ', 'n', '', 'pl', '3', 'o', 'ಗಳು+ಅ+ಅಲ್ಲಿ', 'galYu+a+alli']
Morpheme ಅಲ್ಲಇ not at position 4, of wordform ಸ್ಥಳ, normalized ಸ್ಥಳ, af: ['ಸ್ಥಳ', 'n', '', 'pl', '3', 'o', 'ಗಳು+ಅ+ಅಲ್ಲಿ', 'galYu+a+alli']
Morpheme ಅರ್ not at position 2, of wordform ಹಣವು, normalized ಹಣವಉ, af: ['ಹಣ', 'n', '', 'sg', '3', 'o', 'ಅರ್+ಉ', 'ar+u']
Morpheme ಓಲ್ಲ not at position 3, of wordform ಹಾಕೊಲ್ಲ, normalized ಹಆಕಒಲ್ಲ, af: ['ಹಾಕು', 'v', '', 'sg', '1', '', 'ಓ+ಓಲ್ಲ', 'o+olla']
Morpheme ಉವ್ not at position 3, of wordform ಹಾಡೋದೇ, normalized ಹಆಡಓದಏ, af: ['ಹಾಡು', 'v', '', 'sg', '3', '', 'ಉವ್+ದ್+ಏ', 'uv+x+e']
Morpheme ಂದ್ not at position 7, of wordform ಹಾರಿಬರುತ್ತಿದ್ದಾಗ, normalized ಹಆರಇಬರಉತ್ತಇದ್ದಆಗ, af: ['ಹಾರಿಬರು', 'v', '', 'sg', '3', '', 'ಂದ್+ಇ+ಇರು+ಉತ್ತ್+ಇ+ಇರು+ದ್ದ್+ಆ+ಆಗ', 'Mx+i+iru+uww+i+iru+xx+Aga']
Morpheme ಅವ್ not at position 5, of wordform ಹಿರಿದಾಗಿ, normalized ಹಇರಇದಆಗಇ, af: ['ಹಿರಿದು', 'adv', '', '', '', '', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಅವ್ not at position 3, of wordform ಹೀಗಾಗಿ, normalized ಹಈಗಆಗಇ, af: ['ಹೀಗೆ', 'avy', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಇರಉ not at position 7, of wordform ಹೇಳಲಾಗುತ್ತದೆ, normalized ಹಏಳಲಆಗಉತ್ತದಎ, af: ['ಹೇಳು', 'v', '', '', '', '', 'ಅ+ಅಲ್+ಆ+ಆಗು+ಇ+ಇರು+ದ್+ಎ', 'a+al+A+Agu+i+iru+x+eV']
Morpheme ಇದ್ not at position 3, of wordform ಹೇಳ್ತಾರೆ, normalized ಹಏಳ್ತಆರಎ, af: ['ಹೇಳು', 'v', 'any', 'pl', '3', '', 'ಇದ್+ಅ+ಅರ್+ಎ', 'ix+a+ar+eV']
Morpheme ವ್ not at position 5, of wordform ಹೊಂದಿದೆ, normalized ಹಒಂದಇದಎ, af: ['ಹೊಂದು', 'v', '', 'pl', '3', '', 'ಇರು+ವ್+ಎ', 'iru+v+eV']
Morpheme ಅವ್ not at position 3, of wordform ಹೊಸದಾಗಿ, normalized ಹಒಸದಆಗಇ, af: ['ಹೊಸ', 'adv', '', '', '', '', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಇಯ್ not at position 4, of wordform ಹೋಗುವವರನ್ನು, normalized ಹಓಗಉವವರನ್ನಉ, af: ['ಹೋಗು', 'v', 'any', 'pl', '3', '', 'ಇಯ್+ಉ+ಉವ್+ಅ+ಅವರು+ಅ+ಅವ್+ಅ+ಅನ್ನು', 'iy+u+uv+a+avaru+a+annu']
